sentence	entity	entity_tag	label	source	file
Турецкие власти в понедельник вызвали временного поверенного в делах Германии, после того как германский суд не разрешил транслировать обращение Эрдогана к участникам митинга в Кельне в воскресенье, собравшего десятки тысяч его сторонников.	германский суд	ORGANIZATION	-1	OPINION_RELATES_TO	104239_text
Президент «MicroBank», Антонио Вила (Antonio Vila), рассказал, что за 9 лет существования этой льготной программы, она смогла стать одним из ключевых игроков микрофинансового сектора в Испании и Европе, а также стала полезным ресурсом для содействия финансовой интеграции и стимулирования экономической деятельности и создания рабочих мест.	MicroBank	ORGANIZATION	1	OPINION_RELATES_TO	104872_text
Президент «MicroBank», Антонио Вила (Antonio Vila), рассказал, что за 9 лет существования этой льготной программы, она смогла стать одним из ключевых игроков микрофинансового сектора в Испании и Европе, а также стала полезным ресурсом для содействия финансовой интеграции и стимулирования экономической деятельности и создания рабочих мест.	MicroBank	ORGANIZATION	1	OPINION_RELATES_TO	104872_text
Банковская корпорация Квансон (Kwangson Banking Corp.) была закрыта в соответствии с санкциями ООН, введенными в марте 2016 года в ответ на ядерные испытания в КНДР, но, по данным газеты ''Korea JoongAng Ilbo'', которая ссылается на анонимные источники, продолжает секретную деятельность в приграничном городе Даньдун.	Квансон	ORGANIZATION	-1	OPINION_RELATES_TO	106902_text
Банковская корпорация Квансон (Kwangson Banking Corp.) была закрыта в соответствии с санкциями ООН, введенными в марте 2016 года в ответ на ядерные испытания в КНДР, но, по данным газеты ''Korea JoongAng Ilbo'', которая ссылается на анонимные источники, продолжает секретную деятельность в приграничном городе Даньдун.	Квансон	ORGANIZATION	-1	OPINION_RELATES_TO	106902_text
Хунсян подозревают в неких «серьезных экономических преступлениях», как следует из сообщений полиции провинции Ляонин и МИД Китая, сделанных ранее.	Хунсян	ORGANIZATION	-1	OPINION_RELATES_TO	106902_text
На прошлой неделе администрация президента Барака Обамы официально обвинила российское правительство в кибератаках на американские политические институты с целью повлиять на исход президентских выборов.	российское правительство	ORGANIZATION	-1	OPINION_RELATES_TO	107891_text
Банк России ввёл временную администрация во входящий в первую сотню по активам «коммерческий банк содействия благотворительности и духовному развитию Отечества „Пересвет“», крупнейшим акционером которого является Русская православная церковь.	Пересвет	ORGANIZATION	-1	OPINION_RELATES_TO	107943_text
"В сообщении пресс-службы ЦБ РФ говорится:
 Приказом Банка России от 21 10 2016 ОД 3628 в связи с неудовлетворением требований кредиторов по денежным обязательствам в сроки превышающие семь дней с момента наступления даты их удовлетворения с 21 10 2016 года назначена временная администрация по управлению Акционерным коммерческим банком содействия благотворительности и духовному развитию Отечества ПЕРЕСВЕТ Акционерное общество сроком на шесть месяцев На период деятельности временной администрации полномочия исполнительных органов АКБ ПЕРЕСВЕТ АО приостановлены Одной из первоочередных задач временной администрации является проведение обследования финансового положения кредитной организации Одновременно Приказом Банка России от 21 10 2016 года ОД 3629 в соответствии со статьей 189 38 Федерального закона О несостоятельности банкротстве введен мораторий на удовлетворение требований кредиторов АКБ ПЕРЕСВЕТ АО В соответствии с Федеральным законом О страховании вкладов физических лиц в банках Российской Федерации введение моратория на удовлетворение требований кредиторов банка является страховым случаем Выплаты вкладчикам АКБ ПЕРЕСВЕТ АО в том числе индивидуальным предпринимателям начнутся не позднее 14 дней со дня введения моратория Порядок выплаты страхового возмещения будет определен государственной корпорацией Агентство по страхованию вкладов Банк России проводит консультации с акционерами и крупнейшими кредиторами АКБ ПЕРЕСВЕТ в целях определения дальнейших перспектив деятельности кредитной организации 

За несколько часов до этого международное рейтинговое агентство Standard & Poors Global Ratings (S&P) понизило долгосрочный кредитный рейтинг банка «Пересвет» до уровня «CCC-» с «B+», краткосрочный — до уровня «С» с «В»."	Акционерным коммерческим банком содействия благотворительности и духовному развитию Отечества ПЕРЕСВЕТ Акционерное общество	ORGANIZATION	-1	OPINION_RELATES_TO	107943_text
"Первоочередные меры, направленные на снижение уровня аварийности на тамбовских дорогах, рассмотрены на расширенном заседании межведомственной комиссии по обеспечению безопасности дорожного, пишет ""Тамбовская жизнь""."	межведомственной комиссии по обеспечению безопасности дорожного	ORGANIZATION	1	OPINION_RELATES_TO	1106
"Первоочередные меры, направленные на снижение уровня аварийности на тамбовских дорогах, рассмотрены на расширенном заседании межведомственной комиссии по обеспечению безопасности дорожного, пишет ""Тамбовская жизнь""."	межведомственной комиссии по обеспечению безопасности дорожного	ORGANIZATION	1	OPINION_RELATES_TO	1106
"Первоочередные меры, направленные на снижение уровня аварийности на тамбовских дорогах, рассмотрены на расширенном заседании межведомственной комиссии по обеспечению безопасности дорожного, пишет ""Тамбовская жизнь""."	межведомственной комиссии по обеспечению безопасности дорожного	ORGANIZATION	1	OPINION_RELATES_TO	1106
При этом в комитете образования пояснили, что прописи, тетради к учебникам и прочие вспомогательные пособия родителям придется по-прежнему покупать за свои кровные.	комитете образовани	ORGANIZATION	1	OPINION_RELATES_TO	1106
При этом в комитете образования пояснили, что прописи, тетради к учебникам и прочие вспомогательные пособия родителям придется по-прежнему покупать за свои кровные.	комитете образовани	ORGANIZATION	-1	OPINION_RELATES_TO	1106
При этом в комитете образования пояснили, что прописи, тетради к учебникам и прочие вспомогательные пособия родителям придется по-прежнему покупать за свои кровные.	комитете образовани	ORGANIZATION	1	OPINION_RELATES_TO	1106
При этом в комитете образования пояснили, что прописи, тетради к учебникам и прочие вспомогательные пособия родителям придется по-прежнему покупать за свои кровные.	комитете образовани	ORGANIZATION	-1	OPINION_RELATES_TO	1106
"""Деньги на оборудование выделило ""Роснано""."	Роснано	ORGANIZATION	1	OPINION_RELATES_TO	1106
ODS в лице своего нового председателя Мартина Куба заявила, что не поддержит предлагаемого президентом технического правительства.	технического правительства	ORGANIZATION	-1	OPINION_RELATES_TO	1109
17% поддерживают вариант технического правительства Руснока, для 21% приемлемо продолжение коалиционного кабинета OSD-TOP 09 с премьером Мирославой Немцовой.	технического правительства	ORGANIZATION	1	OPINION_RELATES_TO	1109
17% поддерживают вариант технического правительства Руснока, для 21% приемлемо продолжение коалиционного кабинета OSD-TOP 09 с премьером Мирославой Немцовой.	коалиционного кабинета	ORGANIZATION	1	OPINION_RELATES_TO	1109
По мнению экспертов, власти Италии, несмотря на то что о проблеме известно около десяти лет, не уделяют должного внимания сохранению памятника.	власти Италии	ORGANIZATION	-1	OPINION_RELATES_TO	110907_text
"«Голос Америки»: 75 лет в эфире

Директор «Голоса Америки» Аманда Беннетт отмечает:"	Голоса Америки	ORGANIZATION	1	OPINION_RELATES_TO	111816_text
"«Голос Америки»: 75 лет в эфире

Директор «Голоса Америки» Аманда Беннетт отмечает:"	Голоса Америки	ORGANIZATION	1	OPINION_RELATES_TO	111816_text
"Аманда Беннетт: «Голос Америки» отмечает 75-летний юбилей

«В эти дни „Голос Америки“ отмечает своё 75-летие."	Голос Америки	ORGANIZATION	1	OPINION_RELATES_TO	111816_text
Лидер «Единой России» и спикер Госдумы Борис Грызлов считает, что региональные и местные выборы продемонстрировали растущую поддержку избирателей партии власти и ее курса в целом.	Единой России	ORGANIZATION	1	OPINION_RELATES_TO	11249_text
В свою очередь лидер российских коммунистов Геннадий Зюганов также выразил удовлетворение итогами выборов, заявив, что в партии появляется много молодых политиков и к деятельности компартии «интерес необычайно высокий у всех социальных слоев».	российских коммунистов	ORGANIZATION	1	OPINION_RELATES_TO	11249_text
В свою очередь лидер российских коммунистов Геннадий Зюганов также выразил удовлетворение итогами выборов, заявив, что в партии появляется много молодых политиков и к деятельности компартии «интерес необычайно высокий у всех социальных слоев».	российских коммунистов	ORGANIZATION	1	OPINION_RELATES_TO	11249_text
Об определенных успехах однопартийцев указывает и руководитель ЛДПР Владимир Жириновский.	ЛДПР	ORGANIZATION	1	OPINION_RELATES_TO	11249_text
Поблагодарив гостей за интерес к искусству, они подчеркнули, что ''Magic Woman'' — это журнал для души.	Magic Woman	ORGANIZATION	1	OPINION_RELATES_TO	116381_text
Противники партии «Новый Азербайджан» президента Ильхама Алиева заявляют, что властные структуры подавляют в стране демократические свободы, пользуясь иммунитетом от западной критики.	Новый Азербайджан	ORGANIZATION	-1	OPINION_RELATES_TO	11814_text
«Мы больше не будем хранить молчание перед лицом коммунистического гнёта», — заявил Трамп, обещая отменить, как он выразился, «однобокие» соглашения администрации Барака Обамы с Кубой.	администрации Барака Обамы	ORGANIZATION	-1	OPINION_RELATES_TO	120624_text
В новой работе Мур собирается сфокусироваться на связях между правительствами разных стран и «разоблачить способы, которые они используют для вовлечения ничего не подозревающих граждан в свои махинации».	правительствами	ORGANIZATION	-1	OPINION_RELATES_TO	12242_text
Бывший фронтмен группы Dion and the Belmonts, певец и композитор Дион Димуччи подал в суд на компанию ZeniMax Media.	ZeniMax Media	ORGANIZATION	-1	OPINION_RELATES_TO	122556_text
Бывший фронтмен группы Dion and the Belmonts, певец и композитор Дион Димуччи подал в суд на компанию ZeniMax Media.	ZeniMax Media	ORGANIZATION	-1	OPINION_RELATES_TO	122556_text
Бывший фронтмен группы Dion and the Belmonts, певец и композитор Дион Димуччи подал в суд на компанию ZeniMax Media.	ZeniMax Media	ORGANIZATION	-1	OPINION_RELATES_TO	122556_text
"Люси Лью заявила:
Что за радость работать с Marvel и Netflix — двумя титанами индустрии, которые наполняют наш мир вдохновляющими историями и притягательными персонажами."	Netflix	ORGANIZATION	1	OPINION_RELATES_TO	122953_text
"Люси Лью заявила:
Что за радость работать с Marvel и Netflix — двумя титанами индустрии, которые наполняют наш мир вдохновляющими историями и притягательными персонажами."	Marvel	ORGANIZATION	1	OPINION_RELATES_TO	122953_text
"Люси Лью заявила:
Что за радость работать с Marvel и Netflix — двумя титанами индустрии, которые наполняют наш мир вдохновляющими историями и притягательными персонажами."	Marvel	ORGANIZATION	1	OPINION_RELATES_TO	122953_text
"Люси Лью заявила:
Что за радость работать с Marvel и Netflix — двумя титанами индустрии, которые наполняют наш мир вдохновляющими историями и притягательными персонажами."	Netflix	ORGANIZATION	1	OPINION_RELATES_TO	122953_text
Словакия может выйти из зоны евро	зоны евро	ORGANIZATION	-1	OPINION_RELATES_TO	12341_text
«В еврозоне нет ясных правил, а действия Европейской комиссии никак нельзя назвать ответственными.	еврозоне	ORGANIZATION	-1	OPINION_RELATES_TO	12341_text
«В еврозоне нет ясных правил, а действия Европейской комиссии никак нельзя назвать ответственными.	Европейской комиссии	ORGANIZATION	-1	OPINION_RELATES_TO	12341_text
В свою очередь, бывший премьер-министр Великобритании Гордон Браун полагает, что у еврозоны нет шансов справиться с финансовыми трудностями и выйти из неурядиц без многомиллиардных вложений в банки.	еврозоны	ORGANIZATION	-1	OPINION_RELATES_TO	12341_text
"BP ответит за разлив нефти

Администрация США подала иск против британской компании BP и ещё ряда компаний с требованием обязать их полностью возместить ущерб, нанесённый окружающей среде в связи с утечкой нефти из скважины BP в Мексиканском заливе."	BP	ORGANIZATION	-1	OPINION_RELATES_TO	12394_text
Компания считает, что правительство США завысило их на 20—50 %.	правительство США	ORGANIZATION	-1	OPINION_RELATES_TO	12394_text
Инженер нефтесервисного концерна Hulliburton Джесси Гальяно заявил об этом под присягой, выступая в роли свидетеля по делу против British Petroleum, которое ведёт береговая охрана США и департамент внутренних дел.	British Petroleum	ORGANIZATION	-1	OPINION_RELATES_TO	12394_text
Инженер нефтесервисного концерна Hulliburton Джесси Гальяно заявил об этом под присягой, выступая в роли свидетеля по делу против British Petroleum, которое ведёт береговая охрана США и департамент внутренних дел.	British Petroleum	ORGANIZATION	-1	OPINION_RELATES_TO	12394_text
Адвокат Трампа Джей Секулоу выпустил заявление в связи с публикацией ''Washigton Post'', в котором говорится:	Washigton Post	ORGANIZATION	-1	OPINION_RELATES_TO	124819_text
Адвокат Трампа Джей Секулоу выпустил заявление в связи с публикацией ''Washigton Post'', в котором говорится:	Washigton Post	ORGANIZATION	-1	OPINION_RELATES_TO	124819_text
Адвокат Трампа Джей Секулоу выпустил заявление в связи с публикацией ''Washigton Post'', в котором говорится:	Washigton Post	ORGANIZATION	-1	OPINION_RELATES_TO	124819_text
Адвокат Трампа Джей Секулоу выпустил заявление в связи с публикацией ''Washigton Post'', в котором говорится:	Washigton Post	ORGANIZATION	-1	OPINION_RELATES_TO	124819_text
Хейли подразумевает организованную Мадуро Конституционную Ассамблею, присвоившей законодательные полномочия – в обход парламента, который контролирует оппозиция.	Конституционную Ассамблею	ORGANIZATION	-1	OPINION_RELATES_TO	127167_text
Отметим, что к питерским властям было много претензий по поводу уборки снега и льда с городских улиц и крыш домов.	питерским властям	ORGANIZATION	-1	OPINION_RELATES_TO	13030_text
Отметим, что к питерским властям было много претензий по поводу уборки снега и льда с городских улиц и крыш домов.	питерским властям	ORGANIZATION	-1	OPINION_RELATES_TO	13030_text
Афганские силы безопасности закрыли доступ к месту бомбардировки, запретили родственникам собирать тела и мешали точно оценивать число погибших, пишет «Гардиан».	Афганские силы безопасности	ORGANIZATION	-1	OPINION_RELATES_TO	133561_text
Согласно правительственному докладу, опубликованному в конце октября, за первые девять месяцев этого года в результате авиаударов НАТО погибло 177 человек, от авиударов афганской армии — 289 человек.	НАТО	ORGANIZATION	-1	OPINION_RELATES_TO	133561_text
В результате воздушного удара авиации США в афганской провинции Кундуз погибли десятки мирных жителей.	авиации США	ORGANIZATION	-1	OPINION_RELATES_TO	133561_text
Всего на борту воздушного судна находились 32 человека, среди которых были представители миссии Организации Объединённых Наций и миротворцы призванные в ДРК с целью защиты мирного населения в условиях затяжной гражданской войны, которая продолжается в стране с 1998 годаРазбившимся в Конго самолетом управлял грузинский экипаж.	Организации Объединённых Наций	ORGANIZATION	1	OPINION_RELATES_TO	13490_text
Председатель влиятельного Комитета по иностранным делам стал первым представителем властных структур США, посещающим Исламабад после ликвидации 2 мая американским спецназом лидера Аль-Кайды Усамы бин Ладена.	Комитета по иностранным делам	ORGANIZATION	1	OPINION_RELATES_TO	13744_text
Эксперты отмечают, что у Canucks лучше построена игра в большинстве — по игре в большинстве они третьи в плей-офф (и лучшие среди команд, прошедших первый раунд), а у Bruins — 14-ый результат (худший среди команд, вышедших во второй круг).	Canucks	ORGANIZATION	1	OPINION_RELATES_TO	14000_text
Одно из преимуществ Canucks в том, что их состав «глубже» — уровень игроков третьего и четвертого звена «Касаток» повыше, и это привело к успеху в регулярном сезоне.	Canucks	ORGANIZATION	1	OPINION_RELATES_TO	14000_text
Ивоби отверг обвинения в расизме в адрес «Лиги», назвав их «пугалками», отвлекающими от реальных проблем в стране.	Лиги	ORGANIZATION	-1	OPINION_RELATES_TO	150842_text
Рен заявил, что ЕС «денно и нощно» работает над созданием плана, призванного предотвратить распространение долгового кризиса.	ЕС	ORGANIZATION	1	OPINION_RELATES_TO	15232_text
Рен заявил, что ЕС «денно и нощно» работает над созданием плана, призванного предотвратить распространение долгового кризиса.	ЕС	ORGANIZATION	1	OPINION_RELATES_TO	15232_text
Атака последовала после обвинений в адрес сирийского правительства в применении химического оружия против мирных жителей в пригороде Дамаска 7 апреля.	сирийского правительства	ORGANIZATION	-1	OPINION_RELATES_TO	155638_text
Атака последовала после обвинений в адрес сирийского правительства в применении химического оружия против мирных жителей в пригороде Дамаска 7 апреля.	сирийского правительства	ORGANIZATION	-1	OPINION_RELATES_TO	155696_text
Атака последовала после обвинений в адрес сирийского правительства в применении химического оружия против мирных жителей в пригороде Дамаска 7 апреля.	сирийского правительства	ORGANIZATION	-1	OPINION_RELATES_TO	155705_text
Настроение хорошее, атмосфера очень положительная, что непременно должно быть в сборной», — цитирует NEWSru.com наставника российской футбольной сборной.	российской футбольной сборной	ORGANIZATION	1	OPINION_RELATES_TO	15609_text
Настроение хорошее, атмосфера очень положительная, что непременно должно быть в сборной», — цитирует NEWSru.com наставника российской футбольной сборной.	российской футбольной сборной	ORGANIZATION	1	OPINION_RELATES_TO	15609_text
По данным полиции, всего в химической атаке на Сергея Скрипаля и его дочь Юлию участвовала команда из шести человек — «ударная российская группа, контролируемая российским правительством».	российским правительством	ORGANIZATION	-1	OPINION_RELATES_TO	156300_text
Турция, США и Европейский Союз считают Курдскую рабочую партию – террористической организацией.	Курдскую рабочую партию	ORGANIZATION	-1	OPINION_RELATES_TO	16007_text
Правительство США и их союзник Израиль''», — цитирует «Росбалт» венесуэльского лидера.	Правительство США	ORGANIZATION	-1	OPINION_RELATES_TO	16194_text
Что касается действий сирийского правительства, то они направлены на борьбу с вооружёнными группировками, которые дестабилизируют обстановку в стране по заказу властей США и Израиля.	сирийского правительства	ORGANIZATION	1	OPINION_RELATES_TO	16194_text
Он считает, что прокуратура провела расследование этого дела необъективно и покрывает одного из участников инцидента, сына бывшего сотрудника ведомства.	прокуратура	ORGANIZATION	-1	OPINION_RELATES_TO	163487_text
Он считает, что прокуратура провела расследование этого дела необъективно и покрывает одного из участников инцидента, сына бывшего сотрудника ведомства.	прокуратура	ORGANIZATION	-1	OPINION_RELATES_TO	163487_text
Владимир Сливяк отметил, что предыдущие Думы приучили экологическое сообщество к тому, что ничего особо хорошего от их деятельности ожидать не стоит.	Думы	ORGANIZATION	-1	OPINION_RELATES_TO	16642_text
«Пока нет причин думать, что эта Дума будет какой-то более „экологичной“.	Дума	ORGANIZATION	-1	OPINION_RELATES_TO	16642_text
Может, они перестанут делать из Госдумы болото», — заключил он.	Госдумы	ORGANIZATION	-1	OPINION_RELATES_TO	16642_text
По его мнению, Госдумами прошлых лет были приняты некоторые законы, за которыми кроются «экономические интересы людей из власти».	Госдумами	ORGANIZATION	-1	OPINION_RELATES_TO	16642_text
Моралес против политики США по искоренению коки, а также против неолиберальной политики прошлого Боливийского правительства, включая соглашения о свободной торговле.	Боливийского правительства	ORGANIZATION	-1	OPINION_RELATES_TO	1760_text
Моралес против политики США по искоренению коки, а также против неолиберальной политики прошлого Боливийского правительства, включая соглашения о свободной торговле.	Боливийского правительства	ORGANIZATION	-1	OPINION_RELATES_TO	1760_text
Нигде я не проводил время так хорошо, как в сборной Замбии!	сборной Замбии	ORGANIZATION	1	OPINION_RELATES_TO	18301_text
"Дэвид Долник — мэнеджер по маркетингу из калифорнийской компании SolarCity здесь же рассказывает о работе своей компании:

«Мы прилагаем усилия к сокращению потребления энергии и стараемся сделать энергоснабжение людей максимально автономным."	SolarCity	ORGANIZATION	1	OPINION_RELATES_TO	18817_text
"Дэвид Долник — мэнеджер по маркетингу из калифорнийской компании SolarCity здесь же рассказывает о работе своей компании:

«Мы прилагаем усилия к сокращению потребления энергии и стараемся сделать энергоснабжение людей максимально автономным."	SolarCity	ORGANIZATION	1	OPINION_RELATES_TO	18817_text
Между тем с победой сборную России уже успел поздравить премьер-министр Дмитрий Медведев.	сборную России	ORGANIZATION	1	OPINION_RELATES_TO	18950_text
В этом году стоимость облигаций правительства Греции на руках у киприотов была снижена.	правительства Греции	ORGANIZATION	-1	OPINION_RELATES_TO	19003_text
Ранее это сделал депутат от «Справедливой России» Илья Пономарев, в своем выступлении охарактеризовавший «Единую Россию» как «партию жуликов и воров» (выражение Алексея Навального) и выразивший убеждение, что новые законодательные акты послужат поводом к репрессивным мерам.	Единую Россию	ORGANIZATION	-1	OPINION_RELATES_TO	19107_text
Сенатор и лидер большинства Гарри Рид отреагировал на эту новость более жёстко: «НОК должно быть стыдно.	НОК	ORGANIZATION	-1	OPINION_RELATES_TO	19121_text
«Балогодарен Палате представителей штата Массачусетс за принятие резолюции, поддерживающей независимость Арцаха.	Палате представителей штата Массачусетс	ORGANIZATION	1	OPINION_RELATES_TO	19309_text
«Балогодарен Палате представителей штата Массачусетс за принятие резолюции, поддерживающей независимость Арцаха.	Палате представителей штата Массачусетс	ORGANIZATION	1	OPINION_RELATES_TO	19309_text
"Сборная России победила на чемпионате мира по самбо


Сборная России на чемпионате мира по самбо в Бухаресте (Румыния) завоевала 15 золотых, 4 серебряные и 5 бронзовых медалей, выиграв командный зачёт турнира."	Сборная России	ORGANIZATION	1	OPINION_RELATES_TO	193267_text
Российская сборная в очередной, 28-й раз стала победительницей в общекомандном зачёте на чемпионатах мира по самбо.	Российская сборная	ORGANIZATION	1	OPINION_RELATES_TO	193267_text
"Лэнса Армстронга лишили всех побед на «Тур де Франс»


Антидопинговое агентство США (USADA) лишит знаменитого велогонщика Лэнса Армстронга всех его титулов и запретит ему участвовать в соревнованиях."	Антидопинговое агентство США	ORGANIZATION	-1	OPINION_RELATES_TO	19427_text
Apple и Samsung нарушали патенты друг друга	Samsung	ORGANIZATION	-1	OPINION_RELATES_TO	19429_text
Apple и Samsung нарушали патенты друг друга	Apple	ORGANIZATION	-1	OPINION_RELATES_TO	19429_text
Суд в Южной Корее постановил, что американский технологический гигант Apple и его южнокорейский конкурент Samsung Electronics нарушили патенты друг друга, относящиеся к мобильным устройствам.	Samsung Electronics	ORGANIZATION	-1	OPINION_RELATES_TO	19429_text
Суд в Южной Корее постановил, что американский технологический гигант Apple и его южнокорейский конкурент Samsung Electronics нарушили патенты друг друга, относящиеся к мобильным устройствам.	Apple	ORGANIZATION	-1	OPINION_RELATES_TO	19429_text
Сеульский суд в пятницу 24 августа вынес решение, что Apple нарушил два патента Samsung по беспроводной связи, а Samsung — запатентованную дизайнерскую разработку Apple.	Apple	ORGANIZATION	-1	OPINION_RELATES_TO	19429_text
В то же время, судья Ким Мун Сун отметил, что компания Apple, в свою очередь, использовала телекоммуникационные разработки, запатентованные Samsung.	Apple	ORGANIZATION	-1	OPINION_RELATES_TO	19429_text
Летом по приглашению компании Shanghai Zhenhai Industrial (производителя секс-товаров) актриса приняла участие в благотворительном мероприятии в провинции Юньнань.	Shanghai Zhenhai Industrial	ORGANIZATION	-1	OPINION_RELATES_TO	198350_text
Убийцами, совершившими это преступление, оказались четверо выходцев из Марракеша в возрасте от 25 до 33 лет; правоохранители подозревают их в причастности к запрещённой в России террористической группировке «Исламское государство», есть видео с «клятвой верности» ИГ.	Исламское государство	ORGANIZATION	-1	OPINION_RELATES_TO	202294_text
Президент США Джордж Буш заявил, что продолжение мирных переговоров на Ближнем востоке возможно только в том случае, если ХАМАС разоружится и признает государство Израиль.	ХАМАС	ORGANIZATION	-1	OPINION_RELATES_TO	2070_text
Он сказал, что, будучи невиновным, отсидел срок в тюрьме по ложному обвинению и его пытала «Гражданская платформа», членом которой являлся погибший мэр.	Гражданская платформа	ORGANIZATION	-1	OPINION_RELATES_TO	207937_text
В интервью журналу Wired и в официальном блоге, Макафи настаивает на своей невиновности, утверждая, что полиция сфабриковала уголовное дело, и заявлял, что в тюрьме его могут убить: ''«Вы можете называть меня параноиком, но они (власти Белиза) убьют меня, в этом нет никаких сомнений.	полиция	ORGANIZATION	-1	OPINION_RELATES_TO	21451_text
В интервью журналу Wired и в официальном блоге, Макафи настаивает на своей невиновности, утверждая, что полиция сфабриковала уголовное дело, и заявлял, что в тюрьме его могут убить: ''«Вы можете называть меня параноиком, но они (власти Белиза) убьют меня, в этом нет никаких сомнений.	власти Белиза	ORGANIZATION	-1	OPINION_RELATES_TO	21451_text
В интервью журналу Wired и в официальном блоге, Макафи настаивает на своей невиновности, утверждая, что полиция сфабриковала уголовное дело, и заявлял, что в тюрьме его могут убить: ''«Вы можете называть меня параноиком, но они (власти Белиза) убьют меня, в этом нет никаких сомнений.	полиция	ORGANIZATION	-1	OPINION_RELATES_TO	21451_text
Тем не менее, Макафи не спешил к личному сотрудничеству с полицией и скрывался.	полицией	ORGANIZATION	-1	OPINION_RELATES_TO	21451_text
Американская компания Monsanto — один из мировых лидеров продаж генномодифицированных семян и гербицидов.	Monsanto	ORGANIZATION	1	OPINION_RELATES_TO	218392_text
Тем не менее, после покупки Monsanto акции Bayer упали более чем на 40 %.	Bayer	ORGANIZATION	-1	OPINION_RELATES_TO	218392_text
Тем не менее, после покупки Monsanto акции Bayer упали более чем на 40 %.	Monsanto	ORGANIZATION	-1	OPINION_RELATES_TO	218392_text
В среду, 27 марта 2019 года, федеральный суд Сан-Франциско (США) обязал американскую компанию Monsanto выплатить 80,3 млн долларов 70-летнему мужчине с онкологическим заболеванием.	Monsanto	ORGANIZATION	-1	OPINION_RELATES_TO	218392_text
В 2007 году она основала фонд «Справедливая помощь», который занимался поддержкой онкобольных, нуждающихся и бездомных.	Справедливая помощь	ORGANIZATION	1	OPINION_RELATES_TO	220995_text
До этого он успел поработать в известных IT-компаниях, таких как Sun и Novell, однако наибольших заслуг добился именно на посту руководителя Google.	Sun	ORGANIZATION	1	OPINION_RELATES_TO	221
До этого он успел поработать в известных IT-компаниях, таких как Sun и Novell, однако наибольших заслуг добился именно на посту руководителя Google.	Novell	ORGANIZATION	1	OPINION_RELATES_TO	221
"Шутка ли, за то время, пока он стоял у руля, Google превратился в наиболее популярный поисковик в мире, ""заразил"" интернет-сообщество просмотром видеороликов на YouTube и выпустил мобильную ОС Android, которая в ближайшее время наверняка станет самой популярной мобильной платформой в мире."	Google	ORGANIZATION	1	OPINION_RELATES_TO	221
